id,symbol,name,market_cap_rank,market_cap,total_volume,current_price,circulating_supply,total_supply,max_supply,price_change_percentage_24h,last_updated,reject_reasons,is_rejected
bitcoin,btc,Bitcoin,1,1783865809165,16731554372.0,89271.0,19980215.0,19980215.0,21000000.0,-0.37435,2026-01-24T22:24:54.278Z,,False
ethereum,eth,Ethereum,2,357043784822,8395398467.0,2957.48,120694449.1645958,120694449.1645958,,0.16856,2026-01-24T22:24:53.812Z,,False
binancecoin,bnb,BNB,4,121039440860,556517128.0,887.46,136360485.72,136360485.72,200000000.0,-0.40823,2026-01-24T22:24:54.876Z,,False
ripple,xrp,XRP,5,116781373602,1021550280.0,1.92,60853233336.0,99985724371.0,100000000000.0,-0.14338,2026-01-24T22:24:58.731Z,,False
solana,sol,Solana,7,71979924098,1769792279.0,127.28,565826066.4869307,618906532.7320651,,-0.05896,2026-01-24T22:24:58.551Z,,False
tron,trx,TRON,8,27964724007,484933409.0,0.295271,94711337500.69508,94713256727.75726,,-0.51915,2026-01-24T22:24:58.629Z,,False
staked-ether,steth,Lido Staked Ether,9,27712365658,11100611.0,2957.21,9370199.524350796,9370199.524350796,,0.3085,2026-01-24T22:24:58.119Z,,False
dogecoin,doge,Dogecoin,10,20948494449,359976203.0,0.124426,168376333126.5791,168455023126.5791,,-0.10446,2026-01-24T22:24:58.568Z,,False
cardano,ada,Cardano,12,13197078372,193708916.0,0.35897,36774107790.58057,45000000000.0,45000000000.0,-0.54203,2026-01-24T22:24:58.688Z,,False
wrapped-steth,wsteth,Wrapped stETH,13,12384611335,19719825.0,3625.07,3416739.951081655,3416739.951081655,,0.30341,2026-01-24T22:24:58.275Z,,False
bitcoin-cash,bch,Bitcoin Cash,14,11868800154,170370576.0,593.86,19985290.52165078,19985299.89665078,21000000.0,0.16637,2026-01-24T22:24:58.402Z,,False
whitebit,wbt,WhiteBIT Coin,15,11628767430,17238257.0,54.37,213858036.0,320358036.0,400000000.0,-0.24368,2026-01-24T22:24:58.140Z,,False
wrapped-bitcoin,wbtc,Wrapped Bitcoin,16,11138428995,53279592.0,89103.0,124963.48883569,124963.48883569,,0.04385,2026-01-24T22:24:58.556Z,,False
monero,xmr,Monero,20,9368668243,98650436.0,507.12,18446744.07370955,18446744.07370955,,-1.24288,2026-01-24T22:24:58.330Z,,False
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),21,8969937787,979921763.0,0.998047,8984992789.453936,8984992789.453936,,-0.07957,2026-01-24T22:24:58.891Z,,False
chainlink,link,Chainlink,22,8659663283,178054042.0,12.23,708099970.4525867,1000000000.0,1000000000.0,0.23505,2026-01-24T22:24:58.715Z,,False
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,24,6950651520,85545613.0,89259.0,77856.95431869,77856.95431869,,-0.35505,2026-01-24T22:24:58.619Z,,False
stellar,xlm,Stellar,25,6893222657,66345132.0,0.212666,32423424300.64814,50001786883.65895,,0.14293,2026-01-24T22:24:58.549Z,,False
weth,weth,WETH,26,6712878404,77350006.0,2958.72,2269010.362515297,2269010.362515297,,0.4205,2026-01-24T22:24:58.946Z,,False
zcash,zec,Zcash,28,5972571050,271114134.0,361.65,16511426.7280448,16511426.7280448,21000000.0,-1.67284,2026-01-24T22:24:58.217Z,,False
canton-network,cc,Canton,29,5868561993,10414454.0,0.156558,37528641806.33855,37528641806.33855,,0.67607,2026-01-24T22:24:58.583Z,,False
hyperliquid,hype,Hyperliquid,30,5622209873,122069519.0,23.59,238385315.9541414,962274028.9541414,1000000000.0,4.71246,2026-01-24T22:24:58.644Z,,False
sui,sui,Sui,31,5624003724,239668431.0,1.48,3792183074.773887,10000000000.0,10000000000.0,-0.41749,2026-01-24T22:24:58.514Z,,False
litecoin,ltc,Litecoin,32,5219288297,199303347.0,67.99,76772576.98347135,76773251.98347135,84000000.0,0.43677,2026-01-24T22:24:58.673Z,,False
avalanche-2,avax,Avalanche,33,5213237651,122989130.0,12.09,431258294.9327344,462927270.900207,720000000.0,-0.3112,2026-01-24T22:24:58.490Z,,False
